"skm","skv","gm","gv","idm","mv","me","md","vv","ve","vd","sg","resp"
380,2059,3,0,0,0,0,0,0,0,1,-3,m
2788,799,1,3,1,0,0,1,0,0,0,-2,v
207,65,1,0,0,0,0,0,0,0,1,-1,m
734,2292,2,1,1,1,0,0,0,0,0,1,m
1953,1335,6,1,0,0,0,0,0,0,1,-5,m
1820,46,3,0,0,0,0,0,0,0,1,-3,m
1457,1919,1,0,0,0,0,0,0,0,1,-1,m
790,1492,1,1,1,0,1,0,0,0,0,0,e
1675,328,1,3,1,0,0,1,0,0,0,-2,v
1274,2251,1,1,1,0,1,0,0,0,0,0,e
528,726,0,1,1,0,0,1,0,0,0,-1,v
2474,884,0,5,0,0,0,0,1,0,0,5,v
1631,544,3,1,1,1,0,0,0,0,0,2,m
220,1059,2,1,0,0,0,0,0,0,1,-1,m
477,1883,1,0,0,0,0,0,0,0,1,-1,m
528,376,2,3,0,0,0,0,1,0,0,1,v
2126,683,0,0,0,0,0,0,0,1,0,0,e
1504,537,0,1,1,0,0,1,0,0,0,-1,v
1292,1798,2,1,0,0,0,0,0,0,1,-1,m
374,1753,1,0,0,0,0,0,0,0,1,-1,m
2113,2829,0,2,1,0,0,1,0,0,0,-2,v
1894,203,2,1,1,1,0,0,0,0,0,1,m
94,451,2,0,0,0,0,0,0,0,1,-2,m
2790,1290,1,0,1,1,0,0,0,0,0,1,m
1186,768,0,1,0,0,0,0,1,0,0,1,v
580,1912,1,2,0,0,0,0,1,0,0,1,v
2137,2397,3,0,0,0,0,0,0,0,1,-3,m
2786,1501,1,0,0,0,0,0,0,0,1,-1,m
2535,1344,3,1,0,0,0,0,0,0,1,-2,m
2163,1016,3,0,0,0,0,0,0,0,1,-3,m
468,841,1,0,0,0,0,0,0,0,1,-1,m
1858,1877,1,0,1,1,0,0,0,0,0,1,m
2209,505,4,2,0,0,0,0,0,0,1,-2,m
2313,2775,1,0,1,1,0,0,0,0,0,1,m
2447,604,1,0,0,0,0,0,0,0,1,-1,m
509,695,2,2,1,0,1,0,0,0,0,0,e
68,2815,2,2,1,0,1,0,0,0,0,0,e
2720,2824,3,0,1,1,0,0,0,0,0,3,m
1539,960,2,3,0,0,0,0,1,0,0,1,v
257,234,0,1,0,0,0,0,1,0,0,1,v
625,2609,3,1,1,1,0,0,0,0,0,2,m
1785,612,3,2,0,0,0,0,0,0,1,-1,m
395,1753,1,1,1,0,1,0,0,0,0,0,e
1636,2601,3,1,1,1,0,0,0,0,0,2,m
1970,341,0,0,1,0,1,0,0,0,0,0,e
1619,1821,5,2,1,1,0,0,0,0,0,3,m
2465,1069,1,0,1,1,0,0,0,0,0,1,m
1271,1626,0,0,1,0,1,0,0,0,0,0,e
1875,1835,1,0,1,1,0,0,0,0,0,1,m
1912,1501,3,2,0,0,0,0,0,0,1,-1,m
2271,222,1,0,1,1,0,0,0,0,0,1,m
286,472,2,0,0,0,0,0,0,0,1,-2,m
592,704,0,2,1,0,0,1,0,0,0,-2,v
374,2221,1,2,0,0,0,0,1,0,0,1,v
1018,1207,1,0,0,0,0,0,0,0,1,-1,m
469,566,3,2,1,1,0,0,0,0,0,1,m
1676,1330,6,0,0,0,0,0,0,0,1,-6,m
1208,2236,2,1,1,1,0,0,0,0,0,1,m
2530,767,2,0,0,0,0,0,0,0,1,-2,m
1142,1213,1,2,0,0,0,0,1,0,0,1,v
796,84,5,2,1,1,0,0,0,0,0,3,m
263,2149,2,3,0,0,0,0,1,0,0,1,v
1105,1553,1,2,0,0,0,0,1,0,0,1,v
377,606,1,0,0,0,0,0,0,0,1,-1,m
1615,406,2,0,0,0,0,0,0,0,1,-2,m
271,936,2,2,1,0,1,0,0,0,0,0,e
1330,1157,1,3,0,0,0,0,1,0,0,2,v
1905,1254,0,2,1,0,0,1,0,0,0,-2,v
1191,205,1,0,0,0,0,0,0,0,1,-1,m
1716,157,0,1,1,0,0,1,0,0,0,-1,v
1877,670,4,2,1,1,0,0,0,0,0,2,m
86,1396,4,1,0,0,0,0,0,0,1,-3,m
1973,358,2,2,1,0,1,0,0,0,0,0,e
1860,2843,2,1,1,1,0,0,0,0,0,1,m
1016,1204,0,0,1,0,1,0,0,0,0,0,e
1691,2179,3,0,1,1,0,0,0,0,0,3,m
1497,729,3,3,0,0,0,0,0,1,0,0,e
1457,1919,1,0,1,1,0,0,0,0,0,1,m
892,925,1,0,0,0,0,0,0,0,1,-1,m
789,292,1,1,1,0,1,0,0,0,0,0,e
1924,736,2,1,1,1,0,0,0,0,0,1,m
1630,18,3,0,0,0,0,0,0,0,1,-3,m
2547,1106,0,0,0,0,0,0,0,1,0,0,e
295,732,0,3,0,0,0,0,1,0,0,3,v
1015,2294,1,3,0,0,0,0,1,0,0,2,v
2282,1211,2,4,0,0,0,0,1,0,0,2,v
1919,264,1,1,0,0,0,0,0,1,0,0,e
104,134,3,0,0,0,0,0,0,0,1,-3,m
78,2220,2,0,0,0,0,0,0,0,1,-2,m
2680,2585,2,4,0,0,0,0,1,0,0,2,v
622,567,2,1,1,1,0,0,0,0,0,1,m
806,1653,0,0,1,0,1,0,0,0,0,0,e
2532,111,2,0,0,0,0,0,0,0,1,-2,m
2555,2551,1,1,0,0,0,0,0,1,0,0,e
481,147,0,1,0,0,0,0,1,0,0,1,v
954,252,1,3,0,0,0,0,1,0,0,2,v
1508,1511,0,2,0,0,0,0,1,0,0,2,v
1086,1750,3,0,0,0,0,0,0,0,1,-3,m
1801,2231,2,1,1,1,0,0,0,0,0,1,m
1292,1266,0,3,0,0,0,0,1,0,0,3,v
2061,1248,1,2,0,0,0,0,1,0,0,1,v
754,2603,0,2,1,0,0,1,0,0,0,-2,v
1666,515,3,0,1,1,0,0,0,0,0,3,m
2717,1909,1,1,0,0,0,0,0,1,0,0,e
1888,1288,2,2,1,0,1,0,0,0,0,0,e
580,1203,0,0,1,0,1,0,0,0,0,0,e
2681,2243,2,1,0,0,0,0,0,0,1,-1,m
1639,290,0,0,0,0,0,0,0,1,0,0,e
2618,712,0,1,1,0,0,1,0,0,0,-1,v
1520,1785,0,3,1,0,0,1,0,0,0,-3,v
3,1052,1,2,0,0,0,0,1,0,0,1,v
1450,1610,1,1,1,0,1,0,0,0,0,0,e
2791,1801,4,0,1,1,0,0,0,0,0,4,m
1471,1003,2,2,0,0,0,0,0,1,0,0,e
331,300,0,0,0,0,0,0,0,1,0,0,e
468,180,3,1,1,1,0,0,0,0,0,2,m
513,976,1,1,1,0,1,0,0,0,0,0,e
1346,2616,0,1,1,0,0,1,0,0,0,-1,v
780,1044,3,1,1,1,0,0,0,0,0,2,m
2323,158,1,3,1,0,0,1,0,0,0,-2,v
1856,1615,3,2,0,0,0,0,0,0,1,-1,m
2151,713,3,0,1,1,0,0,0,0,0,3,m
2645,1748,1,3,0,0,0,0,1,0,0,2,v
848,1851,0,1,0,0,0,0,1,0,0,1,v
1616,206,2,1,0,0,0,0,0,0,1,-1,m
1994,825,2,1,1,1,0,0,0,0,0,1,m
1439,1980,2,2,1,0,1,0,0,0,0,0,e
1932,883,5,2,1,1,0,0,0,0,0,3,m
2466,1878,0,2,0,0,0,0,1,0,0,2,v
1196,1014,2,1,1,1,0,0,0,0,0,1,m
841,987,2,1,0,0,0,0,0,0,1,-1,m
1248,2754,0,1,1,0,0,1,0,0,0,-1,v
2271,1776,0,6,0,0,0,0,1,0,0,6,v
1837,86,0,0,0,0,0,0,0,1,0,0,e
2767,1543,1,3,0,0,0,0,1,0,0,2,v
